id,text,associated_user,lang,time_zone,geolocation,recorded_at,occurred_at
1,RT @europa_nexus: The pound Is now 'toxic' amidst hard Brexit fears.. and is 'set to get worse' https://t.co/HHn1lBlcLB via @HuffPostUK,3003739203,en,,,2016-10-10 22:10:25.91269,2016-10-10 22:10:25
2,RT @Ed_Miliband: Negotiating secrecy won't wash as an excuse.The country has a right to know the government's Brexit strategy and parliamen…,778070725,en,London,,2016-10-10 22:10:26.137575,2016-10-10 22:10:25
3,"RT @rocioguemes: #BREXIT,oportunidad para @ComunidadMadrid #seguridadjuridica #reduccionburocracia #ProyectoChamartin algunasclavesp… ",271074488,es,Indiana (East),,2016-10-10 22:10:26.245869,2016-10-10 22:10:25
4,"RT @MirandaButler3: Brilliant by @ProfMarkElliott on danger of Gov't interpreting Brexit result as a blank (&amp; antidemocratic) cheque:
https…",1398329066,en,,,2016-10-10 22:10:27.448815,2016-10-10 22:10:27
5,"RT @judithmknott: I'm beginning to think they just don't care. The electorate's assumed pathological hatred of immigrants ""trumps"" al… ",3235349898,en,,,2016-10-10 22:10:29.902908,2016-10-10 22:10:29
6,"RT @suttonnick: Tuesday's Times front page:
Hard Brexit could cost £66bn a year
#tomorrowspaperstoday #bbcpapers https://t.co/jOb8RRZXAE",74428839,en,London,,2016-10-10 22:10:30.120293,2016-10-10 22:10:29
7,RT @PoliticsSense: 70% of this man's constituents voted for #Brexit. He wants to ignore them. https://t.co/J4FRnbwTwj,3438534477,en,,,2016-10-10 22:10:30.355974,2016-10-10 22:10:30
8,"RT @FT: Opinion: Parliament should be central to Brexit, not marginal https://t.co/702788c8zv https://t.co/L7l550t1vw",135102576,en,London,,2016-10-10 22:10:30.614445,2016-10-10 22:10:30
9,"RT @suttonnick: Tuesday's Times front page:
Hard Brexit could cost £66bn a year
#tomorrowspaperstoday #bbcpapers https://t.co/jOb8RRZXAE",20635950,en,London,,2016-10-10 22:10:31.663965,2016-10-10 22:10:31
10,RT @ShelaghFogarty: Bang goes the NHS and Social Care. https://t.co/x3lhdBzbA6,20527989,en,London,,2016-10-10 22:10:32.193684,2016-10-10 22:10:31
11,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,14190551,en,London,,2016-10-10 22:10:32.602768,2016-10-10 22:10:32
12,"RT @DanaRuxi123: Luke, @TerrorCulture , your university should FIRE you! Brexit 2.0! The social stigma dissapears in the voting boot… ",707253890299744256,en,,,2016-10-10 22:10:33.361017,2016-10-10 22:10:33
13,"RT @BBCNews: Tuesday's Times front page:
""Hard Brexit could cost £66bn a year""
#tomorrowspaperstoday #bbcpapers
(via @suttonnick)
https://t…",481102141,en,London,,2016-10-10 22:10:33.615941,2016-10-10 22:10:33
14,RT @Gary_Bainbridge: If you cut a cake 52%/48% I don't think you'd imagine one piece was overwhelmingly bigger than the other. https://t.co…,7455442,en,London,,2016-10-10 22:10:34.948317,2016-10-10 22:10:34
15,"RT @jdportes: What on earth is @DanielJHannan talking about? EU-Chile means there is *no* EU tariff.  Will he, for once, correct? https://t…",2250838353,en,London,,2016-10-10 22:10:35.047586,2016-10-10 22:10:34
16,RT @SarahLudford: .@nick_clegg asks what constit principle allows PM to arrogate to self exclus right to interpret what Brexit means  https…,1065190608,en,London,,2016-10-10 22:10:35.361984,2016-10-10 22:10:34
